cohort,activityIndex,segmentIndex,startKm,endKm,distanceKm,avgGrade,meanAltitudeM,elevGainM,elevLossM,progress,gapFactor,altitudePenalty,meanHrReserve,segmentTrimp,cumTrimpBefore,decayedTrimpBefore,terrainFamily,technicalityCombined,actualTimeSec,stage3PredictedTimeSec,stage3ResidualSec,stage3FatigueState,stage3AcuteTrimpCol,stage3FatigueModel
hardTrailRun,A0172,6,6.00090779161393,7.000069761210723,0.999161969596793,0.041785653247331724,453.5385329119825,54.39999999999992,14.299999999999955,0.4987219531327627,1.3008446414235422,0.004225346766757676,0.6998215733982156,0.1959970907003706,1.147710500173565,0.6380463399519234,climb,0.6496630726225382,411.0,582.2322135254495,171.23221352544954,decayed,decayedTrimpBefore,exponential
hardTrailRun,A0172,7,7.000069761210723,8.000090725354088,1.0000209641433653,0.02708332225702109,492.8088777912476,61.80000000000001,33.89999999999998,0.5754112954021029,1.291805675675293,0.004817632503292368,0.72390625,0.1983886966239305,1.3437075908739355,0.668673444976037,mixed_climb_descent,0.21684034317847423,384.0,559.7635178514772,175.76351785147722,decayed,decayedTrimpBefore,exponential
hardTrailRun,A0172,8,8.000090725354088,8.999734088868989,0.9996433635149007,0.04237218277952912,508.5566699072217,63.599999999999966,22.80000000000001,0.6521191041070697,1.4045223167729894,0.0050652819184612285,0.5212529219261338,0.1797462586414926,1.542096287497866,0.6937541683481928,climb,0.7199046178365929,713.0,845.1113596510588,132.11135965105882,decayed,decayedTrimpBefore,exponential
hardTrailRun,A0172,9,8.999734088868989,9.997146386871508,0.9974122980025193,-0.052281333443481105,533.1308437782986,17.300000000000068,70.10000000000002,0.7287268434851306,0.8539869264185016,0.005463328093627817,0.5758159722222222,0.11875007911656117,1.7218425461393587,0.6936919872277257,descent,0.3236306354920183,384.0,464.3064621714549,80.30646217145488,decayed,decayedTrimpBefore,exponential
hardTrailRun,A0172,10,9.997146386871508,11.001071827352682,1.003925440481174,-0.0734753519730735,453.50392317359405,2.800000000000068,76.40000000000009,0.8054988448026806,0.7002922622209576,0.0042248406894320745,0.7120306513409961,0.1296403387073748,1.84059262525592,0.6326497427957699,descent,0.6538762271930427,261.0,309.53096823631677,48.53096823631677,decayed,decayedTrimpBefore,exponential
hardTrailRun,A0172,11,11.001071827352682,12.001883039099951,1.0008112117472692,-0.09753252398443754,367.0275817187935,0.8000000000000114,101.30000000000001,0.8824012296159659,0.6897964908568012,0.0030478787778778216,0.7332142857142857,0.14916048465074527,1.9702329639632947,0.5983187954800835,descent,0.6625963761669396,280.0,294.81611517199195,14.816115171991953,decayed,decayedTrimpBefore,exponential
hardTrailRun,A0172,12,12.001883039099951,13.000872200300206,0.9989891612002548,-0.09738761414555733,272.20523210260137,0.0,97.39999999999998,0.9591142570648388,0.661288259066532,0.0019584625348245677,0.7299527186761229,0.14862402975252198,2.1193934486140398,0.5924059501187293,descent,1.0,282.0,283.06849611209344,1.0684961120934418,decayed,decayedTrimpBefore,exponential
hardTrailRun,A0176,0,0.0,1.0012436911014946,1.0012436911014946,0.09076110654276806,236.47464678010246,90.99999999999997,0.0,0.04979585679266729,1.6378748081599919,0.0016025303588546036,0.7710117145899894,0.18853299341458166,0.0,0.0,climb,1.0,313.0,628.2936957357771,315.2936957357771,decayed,decayedTrimpBefore,exponential
hardTrailRun,A0176,1,1.0012436911014946,1.9998106995046137,0.9985670084031191,-0.011783100034014967,257.2861281555996,52.400000000000034,62.900000000000034,0.14925444823250192,1.1573558105258879,0.0018062123492771365,0.8783078491335372,0.27570519802745863,0.18853299341458166,0.18853299341458166,mixed_climb_descent,0.32212238381713126,327.0,388.76677126999016,61.76677126999016,decayed,decayedTrimpBefore,exponential
hardTrailRun,A0176,2,1.9998106995046137,2.9991114029186576,0.999300703414044,0.09586780919689449,326.4593637968255,95.90000000000003,0.0,0.24861640711675184,1.6298238870960873,0.002556037928489685,0.9003247863247863,0.35161951712033407,0.46423819144204026,0.41537387474864707,climb,0.34936643937538386,390.0,534.8793285400137,144.87932854001372,decayed,decayedTrimpBefore,exponential
hardTrailRun,A0176,3,2.9991114029186576,4.000741134619638,1.0016297317009801,0.08009884731233592,415.9766974546104,81.90000000000003,0.4000000000000341,0.3481306874908561,1.5469829260552215,0.0036925949268483693,0.8908905852417303,0.3443177519091801,0.8158577085623744,0.6593360519292975,climb,0.6469869520507736,393.0,514.8511116552568,121.85111165525677,decayed,decayedTrimpBefore,exponential
hardTrailRun,A0176,4,4.000741134619638,4.999738817201814,0.9989976825821758,0.031135295996468176,479.4431877633663,50.50000000000006,19.60000000000008,0.4476298974259823,1.255675918423609,0.0046119966953556135,0.8761983471074379,0.30408884821894616,1.1601754604715544,0.832765912730751,flat,0.762859688378743,363.0,424.18359551060064,61.18359551060064,decayed,decayedTrimpBefore,exponential
hardTrailRun,A0176,5,4.999738817201814,6.001440849120428,1.0017020319186143,0.05145284810942833,506.35019138809304,66.10000000000002,16.399999999999977,0.5471327031403533,1.424142993002237,0.005030233308395693,0.882367758186398,0.33890338875186704,1.4642643086905005,0.9210170099325279,climb,1.0,397.0,479.2248077392282,82.2248077392282,decayed,decayedTrimpBefore,exponential
