cohort,stage,feature,coefficient,standardizedCoefficient,absStandardizedCoefficient
hardTrailRun,E6 decayed acute TRIMP,meanHrReserve,-1.760624816836795,-0.4767162847131243,0.4767162847131243
hardTrailRun,E6 decayed acute TRIMP,ctl,-0.135795012117121,-0.06606168587534275,0.06606168587534275
hardTrailRun,E6 decayed acute TRIMP,tsb,0.04748207281642681,0.02753365344034064,0.02753365344034064
hardTrailRun,E6 decayed acute TRIMP,decayedTrimpBefore,0.2045223544638279,0.1383338368389606,0.1383338368389606
hardTrailRun,E6 decayed acute TRIMP,terrain_climb,0.924437437785811,0.7444091218414786,0.7444091218414786
hardTrailRun,E6 decayed acute TRIMP,terrain_descent,1.102621686245427,0.8928381884022413,0.8928381884022413
hardTrailRun,E6 decayed acute TRIMP,terrain_flat,0.9419143348321254,0.7961606955615362,0.7961606955615362
hardTrailRun,E6 decayed acute TRIMP,terrain_mixed_climb_descent,0.9984535245047291,0.6496914604268046,0.6496914604268046
hardTrailRun,E6 decayed acute TRIMP,terrain_steep_climb,0.9150177094850214,0.4580796868344374,0.4580796868344374
hardTrailRun,E6 decayed acute TRIMP,terrain_steep_descent,1.309753598095834,0.6845231184498253,0.6845231184498253
hardTrailRun,E6bis cumulative acute TRIMP,intercept,6.161850813806242,,
hardTrailRun,E6bis cumulative acute TRIMP,logDistanceKm,0.9702710142250479,0.48913673946681097,0.48913673946681097
hardTrailRun,E6bis cumulative acute TRIMP,logGapFactor,0.7945060019046426,0.6406795723573309,0.6406795723573309
hardTrailRun,E6bis cumulative acute TRIMP,altitudePenalty,5.28741952840013,0.20116959939761767,0.20116959939761767
hardTrailRun,E6bis cumulative acute TRIMP,meanHrReserve,-1.559319910119828,-0.42220988090299877,0.42220988090299877
hardTrailRun,E6bis cumulative acute TRIMP,ctl,-0.1624096889403246,-0.07900921901781056,0.07900921901781056
hardTrailRun,E6bis cumulative acute TRIMP,tsb,0.024303928544816947,0.014093233637438958,0.014093233637438958
hardTrailRun,E6bis cumulative acute TRIMP,cumTrimpBefore,0.01810339473129653,0.11326922157613466,0.11326922157613466
hardTrailRun,E6bis cumulative acute TRIMP,terrain_climb,0.9086230846501857,0.7316745134742766,0.7316745134742766
hardTrailRun,E6bis cumulative acute TRIMP,terrain_descent,1.1082377698931185,0.8973857626178315,0.8973857626178315
hardTrailRun,E6bis cumulative acute TRIMP,terrain_flat,0.9279986892260077,0.7843983837723978,0.7843983837723978
hardTrailRun,E6bis cumulative acute TRIMP,terrain_mixed_climb_descent,1.0063407259067183,0.6548236446214376,0.6548236446214376
hardTrailRun,E6bis cumulative acute TRIMP,terrain_steep_climb,0.9044815238075354,0.45280502101590525,0.45280502101590525
hardTrailRun,E6bis cumulative acute TRIMP,terrain_steep_descent,1.306169020322627,0.6826496925174905,0.6826496925174905
top10HardTrailByHRR,E1 distance,intercept,5.9777242266413095,,
top10HardTrailByHRR,E1 distance,logDistanceKm,1.0682339949866297,0.7807378454030535,0.7807378454030535
top10HardTrailByHRR,E2 terrain physics + progress,intercept,4.932078122766593,,
top10HardTrailByHRR,E2 terrain physics + progress,logDistanceKm,1.134228986349764,0.8289714605155285,0.8289714605155285
