checkType,validation,cohort,fitObjective,model,trimpScale,hrrReference,decayLambda,segmentKm,target,status,alpha,fatigueModel,fatigueCoef,r2,maeMin,mapePct,biasMin
stage3_grid_sensitivity,in_sample,selectedDateRaces,activity,Stage 3 HRR speed ratio,5.0,0.75,0.6,1.0,moving_time,computed,0.5,linear,0.1,0.9772146407430123,22.434133142255124,19.384899783019957,15.675405274257225
stage3_grid_sensitivity,in_sample,hardTrailRun,activity,Stage 3 HRR speed ratio,10.0,0.65,0.6,1.0,moving_time,computed,0.45,linear,0.4,0.9614025427901719,23.337004024853325,15.247920964808287,3.4294839398695185
stage3_grid_sensitivity,in_sample,top10HardTrailByHRR,activity,Stage 3 HRR speed ratio,10.0,0.65,0.6,1.0,moving_time,computed,0.5,linear,0.4,0.9813362047023256,6.627310336877541,7.845986021640247,0.8886550231712719
stage3_grid_sensitivity,in_sample,selectedDateRaces,activity,Stage 3 HRR speed ratio,10.0,0.65,0.6,1.0,moving_time,computed,0.45,linear,0.4,0.9790247879381064,20.553406120548853,17.15845152569064,10.783558285568228
stage3_grid_sensitivity,in_sample,hardTrailRun,activity,Stage 3 HRR speed ratio,10.0,0.7,0.6,1.0,moving_time,computed,0.45,linear,0.0,0.9619819292349444,25.590407712737356,19.27078307684461,12.973306479825743
stage3_grid_sensitivity,in_sample,top10HardTrailByHRR,activity,Stage 3 HRR speed ratio,10.0,0.7,0.6,1.0,moving_time,computed,0.55,linear,0.4,0.9800292259678515,6.693616373916364,6.883450759004002,-1.716575125195214
stage3_grid_sensitivity,in_sample,selectedDateRaces,activity,Stage 3 HRR speed ratio,10.0,0.7,0.6,1.0,moving_time,computed,0.5,linear,0.4,0.9765585239328877,19.33884379395064,14.047409984807304,4.5169481975104215
stage3_grid_sensitivity,in_sample,hardTrailRun,activity,Stage 3 HRR speed ratio,10.0,0.75,0.6,1.0,moving_time,computed,0.5,linear,0.4,0.9598934083988183,24.978422221732675,17.58897856347976,7.844709258557842
stage3_grid_sensitivity,in_sample,top10HardTrailByHRR,activity,Stage 3 HRR speed ratio,10.0,0.75,0.6,1.0,moving_time,computed,0.55,linear,0.0,0.9788854807001979,6.628675937301557,7.779706805218578,3.4059642875927745
stage3_grid_sensitivity,in_sample,selectedDateRaces,activity,Stage 3 HRR speed ratio,10.0,0.75,0.6,1.0,moving_time,computed,0.5,linear,0.1,0.9772550551711967,22.274576922091857,19.017643747993183,14.695679580118926
stage3_grid_sensitivity,in_sample,hardTrailRun,activity,Stage 3 HRR speed ratio,20.0,0.65,0.6,1.0,moving_time,computed,0.45,linear,0.4,0.9592942760177408,23.455254845155103,14.82036963760797,1.860723829871429
