activityId,athleteId,startDate,sportType,category,source,distanceKm,timeSec,ascentM,distanceEqKm,trimp,avgHr,hrSpeedShift,hrZone_z1_upper,hrZone_z2_upper,hrZone_z3_upper,hrZone_z4_upper,hrZone_gmm_sample_count,hrZone_gmm_fit_date,hrZone_zone_count
11961109472,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-07-23,Ride,RIDE,strava,16.0734,2257.0,210.0,9.02202,0.9232515660720286,153.2,32.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11963129459,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-07-23,Ride,RIDE,strava,14.5267,2078.0,225.0,8.85801,0.7801644758838154,149.5,60.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11984215977,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-07-26,Run,RUN,strava,7.678100000000001,2814.0,123.6,8.914100000000001,0.949861007330976,145.0,60.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11995841787,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-07-27,WeightTraining,OTHER,strava,0.0,1427.0,0.0,0.0,0.3011749257551671,126.4,,143.24948926026184,158.6833818085684,171.814333017708,,,,4
12000338229,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-07-28,Run,RUN,strava,25.0739,9824.0,668.0,31.7539,5.492673549429162,167.2,-57.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
12020856512,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-07-30,Run,RUN,strava,6.3055,1925.0,83.0,7.1355,0.843267107563006,156.2,-36.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
12033703768,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-08-01,Run,RUN,strava,11.5574,4341.0,180.0,13.3574,1.660499241078959,150.3,-49.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
12063923301,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-08-04,Run,RUN,strava,10.0088,3335.0,156.7,11.5758,0.9850803884938952,139.5,-43.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
12079748173,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-08-06,Run,RUN,strava,6.960100000000001,1788.0,91.0,7.870100000000001,1.3874745131975,182.7,-60.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
12088123954,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-08-07,Rowing,OTHER,strava,11.9373,7563.0,31.2,12.2493,1.9268053918652124,133.6,39.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
12122982163,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-08-11,Run,RUN,strava,14.1426,5150.0,219.2,16.3346,2.8174461506897,166.2,60.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
12134752423,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-08-13,Run,RUN,strava,7.6996,2879.0,131.0,9.0096,1.2300274125530444,155.1,60.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
12147822484,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-08-14,Run,RUN,strava,7.1006,2076.0,81.0,7.9106,1.3775461238430955,175.2,-52.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
12161668479,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-08-16,Run,RUN,strava,8.7262,2940.0,101.0,9.7362,1.332324893078079,157.7,-33.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
12177245147,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-08-18,Run,RUN,strava,23.8238,8181.0,529.0,29.1138,5.428566878208268,175.2,11.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
12198517476,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-08-20,Run,RUN,strava,8.6279,3215.0,192.0,10.5479,1.4438610187859742,157.3,-47.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
12215183637,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-08-22,Run,RUN,strava,7.1715,2398.0,79.0,7.9615,1.4182309687437042,169.8,-33.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
12231235107,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-08-24,Run,RUN,strava,13.0791,4474.0,188.0,14.9591,2.63466074759003,169.6,60.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
12351986883,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-09-07,Run,RUN,strava,6.0436000000000005,2360.0,81.0,6.8536,1.2743107776964042,165.6,60.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
12362811052,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-09-09,WeightTraining,OTHER,strava,0.0,784.0,0.0,0.0,0.0675440423398819,97.3,,143.24948926026184,158.6833818085684,171.814333017708,,,,4
12368406803,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-09-09,Run,RUN,strava,6.0494,2107.0,77.0,6.8194,1.0441363150863625,161.7,12.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
12380016976,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-09-11,WeightTraining,OTHER,strava,0.0,1230.0,0.0,0.0,0.1086914704006763,98.0,,143.24948926026184,158.6833818085684,171.814333017708,,,,4
12385954488,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-09-11,Run,RUN,strava,6.033,2041.0,82.0,6.853000000000001,1.1788118711841007,168.7,-58.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
12415493314,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-09-15,Run,RUN,strava,11.0044,3761.0,47.0,11.4744,2.089143665563706,166.9,-53.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
12435526893,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-09-17,Run,RUN,strava,7.2481,2374.0,45.0,7.6981,1.194825603303821,162.4,-60.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
12453142102,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-09-19,Run,RUN,strava,7.6567,2902.0,131.0,8.9667,1.4285636360842078,161.4,60.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
12458603152,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-09-20,WeightTraining,OTHER,strava,0.0,2146.0,0.0,0.0,0.3809656563379242,120.1,,143.24948926026184,158.6833818085684,171.814333017708,,,,4
12469144311,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-09-21,Run,RUN,strava,18.4761,6714.0,292.0,21.3961,4.2702687370742405,173.2,-60.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
