cumulated_distance,cumulated_duration_seconds,elevationM_ma_5,grade_ma_10,speed_km_h,speedeq_smooth,hr,hr_smooth,speed_smooth,hr_shifted
3.0667245176319926,517.0,218.24,0.007098748872675348,17.043364649543864,21.76004039384437,122,,,
3.0977491659706438,526.0,218.5,0.005701217720210994,12.409859335460421,22.088395974132858,124,,,
3.130147961277695,532.0,218.74,0.003992794414412611,19.439277184230733,21.06475928315429,122,,,
3.156943280806639,536.0,218.9,0.0024668545039226537,24.115787576049556,20.482552282844498,121,,,
3.1749538660954486,538.0,219.01999999999998,0.0020117072160461408,32.419053519857876,20.51374181732958,117,,,
3.202449034069478,541.0,218.6,0.00121325068485628,21.508791716920364,18.72633409427752,112,,,
3.2194318173928482,545.0,218.44,0.00011044112151496902,15.284504991033183,18.157276732886075,111,,,
3.2656867639383473,552.0,217.92,-0.0021162675822063567,13.937183777385478,18.6742472527426,112,,,
3.293912803312133,558.0,218.04000000000002,-0.0050453558304308435,16.935623624271273,19.708123668228446,113,,,
3.3508990817376225,568.0,218.24,-0.0071007030171037445,12.967323685908656,20.881348215437463,115,,,
3.4002879861256483,576.0,218.11999999999998,-0.008109509213493214,12.560126095204797,18.921058537533092,113,,,
3.415816180489199,579.0,217.88000000000002,-0.006704551337225693,18.633833236260752,20.81377941775375,113,,,
3.4329920591804215,581.0,217.52000000000004,-0.004308697781790595,30.916581644200253,20.890883994006938,113,,,
3.4430603289203914,582.0,217.28000000000003,-0.0003752962761446613,36.24577106389201,22.662889379982296,113,,,
3.4539245146897946,585.0,217.2,0.0018902223245273978,13.037022923283784,21.910082032146803,112,,,
3.464942411548956,586.0,217.24,0.004209130015102311,39.66442869298176,22.327153730089044,112,,,
3.482327221551318,590.0,217.48000000000002,0.004880148195917661,15.646329002125722,24.350696774656466,112,,,
3.499315035105573,592.0,217.84,0.0054847432700581514,30.578064397658896,23.84413716264217,111,,,
3.516094152378365,599.0,218.2,0.006760257687551931,8.629260311721714,23.06777389847587,109,,,
